Country,Disease,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Lesotho,Measles,3,368,39,464,7,0,0,0,0,516,179,172,"2,488",0,0,2,1,,31,1,0,217,660,944,,0,,304,573,235,"1,816","2,351","2,195","1,378","1,797","2,448","4,376","7,362","5,821","5,239","6,941","7,624","7,935"
Liberia,Measles,"8,300",250,884,"1,203","3,781",960,789,"1,060",34,0,43,279,"2,200",6,1,1,20,8,4,142,131,"1,379","5,977","1,679","1,436","2,961","1,938",56,571,"6,398","5,776",,,"1,866","2,556","2,178",836,"2,686","6,151","4,835","6,873","7,810","6,567"
Libya,Measles,32,,,188,"1,082",8,32,82,372,,320,,,329,8,59,1,292,"2,771",,"3,890",633,,,50,26,,,"1,127",733,"3,691","1,695",931,207,316,401,851,"4,193","2,526",996,928,"1,570","1,547"
Lithuania,Measles,0,0,2,834,30,2,22,50,11,35,0,7,2,0,1,0,1,1,1,1,103,7,19,23,18,30,35,188,286,249,200,143,,,,,,,,,,,
Luxembourg,Measles,0,0,0,24,4,4,0,0,,0,2,6,0,0,1,0,8,,0,1,,,0,,,1,25,1,1,4,48,1,16,12,18,153,27,62,35,21,243,214,63
Madagascar,Measles,80,44,777,"213,231","21,420",11,5,3,3,6,2,0,1,0,3,0,2,,"35,558","62,233","10,795","9,357","35,256","35,196","15,510","13,865","5,961","11,731","14,164","6,060","1,846","5,824","14,459","29,654","17,069","10,841","21,546","69,884","66,894","101,925","84,494","140,653","119,679"
Malawi,Measles,29,5,76,17,1,4,0,0,3,1,11,26,"118,712",21,20,143,1,184,"1,116",167,92,150,304,152,"3,591","10,845","9,120","4,218","2,164","3,614","32,177","5,730",,"93,100","81,100","114,061","105,682","126,581","80,766","150,248","104,921","84,610","162,686"
Malaysia,Measles,209,128,478,"1,077","1,981","1,709","1,569","1,318",221,195,"1,868","1,569",73,153,334,394,564,"1,407","5,729",632,408,"2,198","6,187","2,576",483,627,460,654,346,542,363,275,563,"1,027","2,304","5,429","4,699","5,163","8,147","9,313","9,268","5,690","8,727"
Maldives,Measles,0,0,15,0,1,1,0,0,0,0,0,0,0,6,0,20,47,"1,395",37,75,926,0,20,,0,,0,"3,070",706,61,0,0,0,0,0,0,0,"2,029",0,0,0,"1,479",
Mali,Measles,765,"2,074",498,454,499,26,107,215,290,221,341,24,"1,719","2,939",98,2,128,33,172,232,717,"4,464","1,578","2,506","10,240","3,531","10,995","3,306","3,420","10,595","7,830","13,473","1,388","3,605","4,478","4,352","4,669","29,732","4,494","8,759","16,432","8,413","10,007"
Malta,Measles,0,1,2,30,6,0,0,2,0,,,3,0,1,1,2,1,6,4,4,7,2,2,1,3,5,16,27,8,3,43,8,6,17,17,46,"1,844",175,58,620,"1,530",121,14
Marshall Islands,Measles,,0,,,,,,,,,0,0,0,0,,0,0,0,0,"1,127",0,0,0,0,0,0,0,,0,9,10,19,14,13,,0,1,4,0,0,0,0,0
Mauritania,Measles,96,249,0,196,77,63,13,1,14,62,35,234,"1,292",322,4,11,22,127,"5,039","3,611",883,"1,398",,"5,263","1,303",499,,195,"2,668","5,754","4,990","4,601","1,379","5,032",434,"2,323","5,318","15,123","11,203","15,710","6,743","8,658","11,441"
Mauritius,Measles,0,0,,98,,0,0,,0,0,0,2,12,15,12,13,3,7,28,777,,0,0,0,,0,0,6,10,88,7,0,1,0,2,0,5,2,6,0,4,0,35
Mexico,Measles,0,0,196,0,5,0,0,0,3,0,0,3,0,0,0,0,23,6,64,44,0,3,30,0,0,0,2,244,128,172,533,"5,077","68,782","20,381","3,915","2,776","9,824","23,826","5,158","3,368","6,364","11,136","29,730"
Micronesia,Measles,1,,,0,0,0,0,0,140,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,,0,930,0,41,0,1,0,0,1,,,,,,,
Monaco,Measles,,0,,1,0,1,,,,,5,,,,,,,,,0,,,,,0,,,,,,160,,0,0,0,0,0,0,0,0,0,12,
Mongolia,Measles,46,,0,2,1,9,"30,273","20,359",0,0,0,0,7,8,31,12,26,0,0,18,"1,205","10,677",925,10,8,4,128,555,177,71,"1,069",656,296,"2,176","3,044",378,133,525,"29,738","1,935",209,695,"5,338"
Montenegro,Measles,0,0,,0,200,0,0,,,0,0,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,Measles,0,0,,0,0,0,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,3
Morocco,Measles,,,,,483,,,17,10,92,668,982,633,834,"1,455","2,248","1,217",,"6,399","10,841","6,000","2,724","7,368","10,853","7,863","2,512","1,324","2,380","3,512","8,431","6,008","2,125","1,577","1,689","2,306","26,621","15,333","4,216","11,484","80,806","53,160","109,486","86,919"
Mozambique,Measles,"1,047",619,426,63,16,122,,79,9,8,145,177,"2,321",60,4,267,183,"12,598","9,396","28,898","7,155","7,085","7,375","3,936","15,693","15,324","9,251","4,166","9,618","5,799","3,092","5,059","18,082","22,832","12,142","12,749","16,109","16,507","12,508","11,734","11,909","16,358","30,070"
Myanmar,Measles,10,8,444,"5,252","1,389","1,293",266,6,122,"1,010","2,175","2,046",190,329,333,"1,088",760,314,"1,329",830,736,"2,519",845,791,"1,465","1,035","1,684","1,170","1,855","2,682","1,794","4,437","7,900","3,883","4,323","5,540","3,830","16,386","16,580","18,919","25,102","26,821","21,457"
Namibia,Measles,31,4,5,12,9,16,40,212,477,"1,028",86,79,"3,138","4,076",0,21,3,4,4,262,"1,278",416,469,296,495,"5,359","4,901","1,723",133,"1,328","6,874",,,,"4,482","16,874",,,,,,,
Nauru,Measles,,,,0,,,0,,,,11,0,,0,0,0,0,0,0,,0,0,0,1,,58,,0,,,,,300,0,,0,1,,,,1,0,10
Nepal,Measles,130,143,388,430,260,99,"1,269","1,599","1,279","1,861","3,362","2,359",190,189,"2,089","1,415","2,838","5,023","12,074","13,344","6,749","10,849","9,397",,"5,771","12,677","7,213","4,810","1,401",59,136,93,182,171,193,190,68,952,"2,042","1,117","1,268",254,561
Netherlands,Measles,6,0,2,84,24,16,6,7,140,"2,632",10,51,15,15,109,10,1,4,11,4,3,,"1,019","2,368",9,21,57,184,302,468,472,59,16,124,"1,519",227,90,24,82,480,95,77,178
New Caledonia,Measles,0,,,,0,1,,,,0,0,0,0,0,0,0,,0,,0,,0,0,,,0,,2,6,6,3,5,18,8,9,"1,221",950,77,79,18,"1,448",77,800
New Zealand,Measles,0,0,7,"2,189",30,15,103,10,280,8,68,597,43,198,,25,20,20,33,66,21,65,65,106,164,"2,041",,,33,69,,"9,239",,0,,,,,,,,,
Nicaragua,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,339,"2,332",0,0,0,314,792,"2,550",956,153,112,226,224,"3,784"
Niger,Measles,"12,898","9,271","2,754","10,321","5,034","1,171",776,"7,693","1,142","1,224",272,771,372,801,"1,317",282,59,"2,183","63,057","54,190","31,584","61,208","21,319","36,156","11,404","32,649","68,921","67,986","48,685","36,557","31,341","90,071","20,463","22,932","16,864","14,290","17,626","64,689","42,199","30,288","39,815","36,139","36,811"
Nigeria,Measles,"23,983","10,649","8,877","28,094","7,063","11,190","17,136","12,423","6,855","52,852","6,447","18,843","8,491","1,272","9,960","2,613",704,"110,927","31,521","141,258","42,007","168,107","212,183","217,151","143,098","21,385","88,675","12,393","106,081","54,734","85,965","44,026","115,682","33,678","75,908","77,566","115,743","161,768","182,591","136,778","139,785","129,671","162,106"
Niue,Measles,0,,,0,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,121,,1,1,0,7,21,0,0,0,2,22
North Macedonia,Measles,0,1,0,"1,337",64,19,0,1,116,4,7,701,217,5,27,1,3,5,9,18,19,27,36,53,,364,"1,056",217,229,"2,495",180,181,,,,,,,,,,,
Northern Mariana Islands,Measles,,,,0,0,,,,,,,0,0,0,0,0,,0,0,0,,,0,0,,1,,0,29,116,7,,35,1,0,0,,,,,,,
Norway,Measles,1,0,4,18,12,1,0,14,3,8,4,39,3,2,4,,0,0,7,8,5,4,0,,,11,23,18,6,7,73,17,95,13,133,563,"1,219","1,312","1,775","6,181","10,974","4,586","1,322"
Palestinian Territories,Measles,,11,"1,001",228,0,63,,,,,,,1,,,,,,,,,,5,138,40,28,33,,,,,,,,,,,,,,,,
Oman,Measles,5,0,7,0,0,9,111,0,,0,13,5,3,19,18,24,13,25,18,1,5,15,15,9,5,12,46,68,181,"3,108","1,834",220,"1,262","4,255","6,052","3,804","2,001","4,161","9,652","9,151","16,645","40,679","10,630"
Pakistan,Measles,"8,378","10,399","2,747","2,066","33,007","9,175","2,703",386,"1,370","8,749","8,046","4,386","4,321",863,"1,129","2,801","7,641","2,981","4,248","4,740","3,903","3,849","2,064","2,940","2,333","1,848","1,090","1,720","1,421","1,967","2,967",617,"21,785","2,349","55,543","45,996","42,304","26,686","17,322","21,004","19,890","29,010","28,573"
Palau,Measles,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,1,0,0,0,0,93,0,0,0,1,0,0,0,0,0,0,0,0,0
Panama,Measles,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,90,845,"2,430","1,891",301,378,"1,885","4,199","4,295",358,595,"4,014","4,332","2,096"
Papua New Guinea,Measles,2,0,4,1,19,7,0,38,"2,299",12,0,0,0,0,0,0,1,"1,222","1,385","3,863","17,620","4,023","7,135","6,304","1,148",678,"2,313","3,730","6,821","8,212","6,634","2,740","4,575","9,799","6,543","10,206","19,024","5,680","9,874","10,023","12,771","16,519","12,125"
Paraguay,Measles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,143,13,73,122,"2,066",864,526,"1,396",386,755,"1,742",610,666,979,"1,259",531,428,745
Peru,Measles,0,0,0,2,42,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,10,95,105,353,670,"1,730","22,605","1,014",737,"1,145","5,785","6,240","6,099","9,393","13,039","7,619","12,708","10,071","19,246"
Philippines,Measles,589,206,"3,832","48,525","20,827","2,428",716,619,"58,848","2,920","1,536","6,538","6,368","1,469",341,530,9,118,"3,025","10,511","7,003","7,360","7,120","2,981","1,984","9,218",,"3,913","3,006","7,541","39,304","29,037","42,938","68,986","70,801","81,896","59,375","62,959","75,290","43,684","35,989","27,031","26,765"
Poland,Measles,,13,29,"1,367",359,63,123,,,84,71,,13,115,,40,120,13,11,48,34,133,77,99,"2,255",338,639,752,864,"1,410","3,695","2,419","56,471","7,225","1,005","1,286","6,806","35,680","54,403","11,271","7,620","35,283","24,882"
Portugal,Measles,0,0,10,10,162,34,34,0,,1,23,2,5,3,1,0,0,7,5,8,8,,45,50,96,129,112,192,"3,230",881,208,275,407,"11,791","2,285",813,,,,,,,
Qatar,Measles,1,1,3,5,2,9,30,18,46,73,160,101,295,112,,361,144,74,29,24,34,23,46,,116,439,38,0,31,86,68,563,314,"1,083",382,409,"2,095","1,410",886,816,506,"1,489",392
South Korea,Measles,,0,6,194,15,5,18,7,442,107,2,42,114,17,2,194,28,7,11,33,62,"23,060","32,647",,4,2,71,71,"7,883",,,,"3,415","2,394","1,579","1,880","1,818","1,283","2,246",695,"6,776","2,307","5,097"
Moldova,Measles,,0,,90,340,0,0,0,2,27,11,0,0,0,0,10,34,6,4,87,"4,929",457,687,245,673,364,344,"1,174","3,951",866,322,621,"3,242",,,,,,,,,,
Romania,Measles,17,2,"1,004","3,900","6,407","9,076","2,435",4,59,"1,159","7,450","4,189",193,8,12,353,"3,196","5,043",117,9,14,10,35,240,"9,547","23,579",906,"2,188","6,228","28,321","6,061","1,773","4,691","3,870","1,810","11,833","34,037","5,007","2,108","4,723","61,682","21,584","10,476"
Russia,Measles,102,1,"1,212","4,491","2,539",721,178,843,"4,711","2,339","2,123",629,129,101,27,173,"1,147",454,"2,444","3,291",580,"2,072","4,800","7,428","6,215","2,874","7,120","6,630","28,672","74,463","18,570","20,449","18,370",,,,,,,,,,
Rwanda,Measles,29,40,108,818,229,145,95,1,10,17,75,31,121,5,6,26,494,129,386,"1,064","2,738",896,"2,095","4,359",,787,"3,988","28,874","5,999","9,861","17,429","5,820","8,970","5,429","4,364","12,387","42,749","16,760","17,269","20,001","36,792","79,384","80,402"
Saint Kitts and Nevis,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,12,12,21,22,27,2,556,138,52,305
Saint Lucia,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,30,10,4,4,32,9,13,71,"2,039",134,35
Saint Vincent and the Grenadines,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,1,2,5,15,63,757,19,257
Samoa,Measles,0,0,11,"5,687",0,3,,,,,1,0,8,0,,,0,0,0,0,,,,,8,0,87,0,0,7,4,0,0,1,0,0,1,"1,095",0,7,28,72,376
San Marino,Measles,0,0,0,12,0,0,0,,,,1,0,0,0,,0,0,0,0,3,,,1,0,,22,,,,6,7,1,1,,,,,,,,,,
Sao Tome and Principe,Measles,,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,23,319,88,0,0,10,,118,0,69,62,576,216,3,194,519
Saudi Arabia,Measles,247,338,35,"1,035","1,164",459,125,219,154,"1,164",294,362,334,82,158,"4,648",807,373,"1,880","1,208",311,155,,"2,815","5,519","3,978","2,407","2,574","1,253","3,182","11,299","6,368","5,439","3,588","8,225","29,220","22,830","18,393","30,457","44,633","33,294","35,790","46,115"
Senegal,Measles,508,187,212,267,12,11,162,58,32,17,46,18,428,999,6,11,3,0,31,"1,519","18,184","24,789","5,839","3,668","6,594","6,594","8,069",,"5,944","14,693","15,367","11,427","5,004","10,940","1,596","3,453","6,831",,,"26,481","32,380","34,516","29,144"
Serbia,Measles,0,1,,22,"5,076",721,11,383,37,1,0,370,20,1,2,201,2,2,11,15,63,35,38,288,922,"4,692",458,524,800,"16,777","2,108",991,"4,978","16,149","6,629","8,639","14,148","25,325","20,233","12,967","13,826","20,878","37,441"
Seychelles,Measles,0,0,27,0,,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,,2,626,3,2,0,0,0,0,6,13,5,0,2,4,10,19,267,347,4,3
Sierra Leone,Measles,731,170,17,40,344,"1,873",920,607,"1,006",15,678,"1,865","1,089",31,44,0,33,29,7,586,568,649,"3,575",,,361,,344,114,"2,288",914,284,830,625,207,"1,000",164,"3,351","4,016","4,327","4,102","3,408","3,625"
Singapore,Measles,,,,152,38,70,,,,138,42,148,50,16,18,15,23,33,96,33,211,408,141,65,114,"1,413",,185,159,0,606,216,143,146,192,123,218,136,"2,417",677,"1,965",771,
Sint Maarten,Measles,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Measles,0,0,0,318,565,7,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,530,620,0,2,29,551,415,211,47,,,,,,,,,,
Slovenia,Measles,0,0,6,51,9,8,1,18,52,1,2,22,2,0,0,0,0,0,0,0,0,0,,1,13,9,8,398,134,7,10,32,,,,,,,,,,,
Solomon Islands,Measles,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,640,"1,527",86,45,343,"13,779",593,434,0,2,238,923,"3,331","2,104",340
Somalia,Measles,"17,361","7,191","2,531",283,"9,126","23,039",26,"7,497","10,229","3,173","9,983","17,298",115,13,"1,081","1,149",7,,"12,008","8,257","9,559","3,571","3,965","5,523","3,075",,"1,830",,,,,,,988,296,222,70,128,487,622,,,
South Africa,Measles,400,21,40,59,71,210,18,17,66,25,32,92,"12,499","5,857",39,31,81,615,830,244,"1,043","1,166","1,459",385,977,"1,337","6,501","8,845","6,845","12,870","22,745","4,777","10,624","18,268","15,258","22,559","13,459","17,884","16,160","16,735","12,906","15,809","19,193"
Sudan,Measles,"3,608",,"1,290","3,401",263,487,898,878,441,525,"1,952","1,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Measles,1,2,89,288,225,161,37,115,154,131,"1,204","3,802",302,41,297,267,362,22,26,256,67,,152,246,446,"1,842","4,964","8,849","6,796","11,985","24,460","24,445","21,650","32,908","22,701","35,146","220,109","80,663","38,914","304,350","159,562","146,689","145,322"
Sri Lanka,Measles,0,,2,49,1,1,112,"1,568","1,686","2,107",51,60,79,21,33,44,0,3,35,65,139,309,"16,527","2,417",177,195,158,408,566,558,701,"1,896","4,004",780,"2,630","3,508","6,235","9,398","13,215","8,171","13,273","6,232","5,032"
Sudan,Measles,,,401,"3,555","4,980",665,"1,767","3,585",676,"2,813","8,523","5,616",680,68,129,327,228,"1,374","9,562","4,381","4,529","4,362","2,875","3,347",550,350,"2,559",841,963,683,"17,017","30,014","14,075","15,114","7,466","1,635","27,136","67,589","2,390","2,806","68,171","64,804","50,168"
Suriname,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,68,5,37,110,40,17,647,716,254
Sweden,Measles,5,0,5,20,43,41,3,22,26,51,30,26,6,3,25,1,19,13,5,3,9,5,59,,,62,44,23,21,25,57,25,29,62,38,,173,326,"1,003","4,626","6,223","3,540","1,786"
Switzerland,Measles,1,0,37,,50,105,65,35,23,175,61,621,77,958,"2,022","1,015",,60,39,574,,700,,800,"2,000","6,400","2,000","1,400","1,400","3,000","4,300","2,700","1,990","2,700","7,600","7,400",,,,,,,
Syria,Measles,217,11,15,27,329,737,66,45,594,740,13,13,26,22,19,403,517,375,189,801,538,290,146,3,"5,400","6,850","2,060","1,362","1,334","2,300",374,359,535,729,58,292,"2,154",425,"1,405",879,800,"1,729","1,478"
Tajikistan,Measles,454,10,,7,0,654,52,3,0,1,16,1,0,0,0,2,3,,4,"2,144",927,38,192,177,"3,070","3,882",42,56,531,"5,045","2,439","1,241","6,897",,,,,,,,,,
Thailand,Measles,64,,,"5,412","6,035","1,946",652,154,,"2,641","5,197","3,156","2,583","6,071","7,790","3,893","3,588","3,526","4,165","4,519","10,315","7,319","4,074","3,167","13,734","15,122","5,757","11,112","38,659","17,851","7,892","26,709","29,244","14,862","36,092","42,172","19,545","32,156","47,205","34,713","27,691","24,298","16,795"
Timor-Leste,Measles,8,,2,22,0,0,2,43,47,4,16,763,50,10,0,0,90,203,41,94,0,,,,,,,,,,,,,,,,,,,,,,
Togo,Measles,722,82,91,69,38,46,15,20,577,564,238,187,120,425,187,8,26,38,61,295,363,"1,833","3,578","2,540","3,771",450,223,"6,144","7,298","4,017","6,959","9,934","4,548","3,499","17,577","10,111","13,119","25,729","25,869","19,403","21,925","19,043","33,960"
Tokelau,Measles,,,,0,0,5,,,,,,0,0,0,,,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,41,0,1,0,0,0
Tonga,Measles,,,,659,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,36,"1,081",0,0,,0,10,18,65,25,0,0,233,412,5,36,19,187,"2,336"
Trinidad and Tobago,Measles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,141,511,"2,170",388,441,"2,660","3,549","3,556","2,392","1,284","3,601",384
Tunisia,Measles,11,7,20,"4,669",13,5,7,16,15,16,48,11,1,1,2,4,3,15,1,22,98,231,47,101,123,371,533,676,597,"1,413","11,872","1,250",547,"1,147",288,573,"3,740","4,766","2,481","1,464","1,828","3,007",225
Turkmenistan,Measles,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,59,48,0,1,1,11,9,113,452,"1,035",377,96,393,"2,613","2,486",692,"1,346","2,806",,,,,,,,,,
Turks and Caicos Islands,Measles,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,0,0,8,2,0,0,0,0,2,6,100,3,16,4
Tuvalu,Measles,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,14,51,1,0,0,1,0,,0,0,284,0,0,2,0,20,3,509
Turkey,Measles,103,,,"2,904",716,84,9,342,565,"7,405",349,111,7,4,0,3,34,"6,200","8,927","5,844","7,823","30,509","16,244","16,329","27,120","22,795","27,171","13,544","23,733","34,285","24,626","22,521","11,372","19,273","9,279","2,194","2,267","14,695","30,666","31,515","8,778","26,547","8,618"
Uganda,Measles,52,606,314,920,"2,627","1,021",139,478,314,"7,878","2,027","3,312","1,313","1,601","1,319","3,776","5,736",22,141,"29,429","49,871","48,543","42,554","42,737","42,528","12,562","26,198","42,659","49,815",,"36,511",,"2,637",660,"1,666",,,,"20,072","43,016","11,408","18,630","13,415"
Ukraine,Measles,11,16,264,"57,282","53,219","4,782",102,105,,,"12,746","1,333",39,,48,"1,005","42,724","2,392",146,411,"7,587","16,970",817,"1,389","5,107","7,000","8,678","1,923","9,837","23,452","13,289","5,321","6,841",,,,,,,,,,
United Arab Emirates,Measles,98,35,50,187,172,121,223,347,344,,132,,87,,55,,,29,22,42,53,30,69,117,296,243,425,671,518,745,"1,063","1,148","1,187","1,068","1,187","2,913","2,158","2,400","1,749","2,105","1,691","2,820","2,796"
United Kingdom,Measles,63,2,95,"1,092","1,216",364,558,91,133,"1,919","2,092","1,112",443,"1,212","1,445","1,022",764,79,189,460,314,73,104,,74,"4,844","6,866","9,017","23,525","12,018","12,317","11,727","28,228","30,160","88,259","44,850","90,214","104,774","67,632","114,948","105,642","61,779","147,962"
Tanzania,Measles,612,0,127,120,74,852,33,30,88,185,"1,668","1,622",167,"1,574","3,413","7,726","2,362",23,"1,419","1,673","5,131","11,847","14,649","5,887","10,023","7,287","10,676","3,160","3,558","16,471","13,040","27,188","14,920","7,033","14,568","42,109","38,229","46,032","39,311","68,804","102,127","79,764","63,100"
United States,Measles,,14,"1,275",,375,120,85,188,667,187,55,220,63,71,140,43,55,66,37,56,41,116,85,100,100,138,489,309,958,312,"2,231","9,643","27,786","18,193","3,396","3,655","6,282","2,822","2,587","1,497","1,714","3,124","13,506"
Uruguay,Measles,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,2,2,5,0,16,187,"2,040",110,20,76,"1,190",198,160,352,18,135,"15,465",141
Uzbekistan,Measles,7,0,"4,103","1,672",22,0,1,22,8,0,,476,117,0,2,863,823,737,75,85,25,22,80,"1,193",875,261,228,294,"1,661","2,354","2,020","3,878","3,943",,,,,,,,,,
Vanuatu,Measles,0,0,0,0,0,,,39,10,0,0,0,0,0,0,0,0,3,,165,101,7,9,12,,113,4,27,27,67,154,541,67,169,140,253,"1,064",940,"1,634",401,832,45,39
Venezuela,Measles,,0,0,548,"5,667",727,0,0,0,0,1,0,0,0,0,32,78,0,0,0,"2,392",115,22,0,4,27,89,172,"15,364","20,244","11,949","15,273","9,881","10,160","12,339","19,261","14,026","21,974","11,833","11,263","14,200","31,255","9,750"
Vietnam,Measles,23,162,846,"14,156","2,256",227,46,256,"15,033","1,123",578,750,"2,809","6,582",352,17,"1,978",410,217,"2,297","6,755","12,058","16,512","14,134","11,690","6,507","5,156","6,171","11,853","12,015","11,830","9,874","8,175","22,332","23,308","30,460","68,463","82,231","87,796","125,176","72,466","62,400","86,901"
Wallis and Futuna,Measles,,,,,0,,,,,0,0,,,,,0,,,,0,,,0,0,0,0,,13,9,9,0,,,0,0,,,,4,65,87,18,342
Yemen,Measles,"23,941","4,904",298,"1,161","10,640",433,143,468,815,400,"2,177","2,676",510,130,7,13,"8,079","6,285","12,708","8,536",890,485,,"26,126","8,785",51,,225,35,601,"2,420",75,,"26,681","10,424","17,408","15,596","27,997","39,713","33,348","24,482","21,355","18,020"
Zambia,Measles,"1,755",55,237,15,11,13,8,9,9,35,896,"13,234","15,754",26,140,535,459,45,35,881,"25,036","16,997","30,930","23,518",,"7,140","9,459","8,533","14,255","11,829","11,006","2,822","6,748","5,747","12,487","14,793","23,866","51,000","36,881","51,140","73,499","184,210","98,659"
Zimbabwe,Measles,"5,532",282,3,4,1,1,1,0,0,0,0,0,"9,696",853,0,242,212,420,31,998,304,529,"1,483",772,"2,049","12,971","37,407","8,529","37,785","34,071","17,346","24,090","13,728","47,509","49,812","17,675","20,388","22,290","21,662","36,253","4,941","4,995","23,650"
Global,Measles,"205,153","123,171","159,073","873,022","360,296","173,457","132,490","214,808","282,078","275,307","212,376","359,332","343,806","278,637","278,751","285,031","377,576","585,701","513,406","679,856","586,471","849,173","853,479","752,407","694,466","825,673","870,218","720,391","926,808","1,143,945","1,481,192","1,370,243","1,325,074","1,822,390","1,663,940","1,682,847","2,078,696","2,819,553","3,026,973","3,586,101","3,623,758","4,078,455","3,852,242"
