Country,Disease,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
British Virgin Islands,Measles,0,0,,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,90,168,0,0,0,0,0,6,1,0,20
Brunei,Measles,0,0,0,1,1,0,1,4,1,,1,4,0,2,3,,,9,16,24,,11,42,23,12,13,,,,50,51,,12,39,28,63,440,617,541,558,243,775,485
Bulgaria,Measles,1,0,257,"1,231",13,165,1,0,0,14,1,157,"22,004","2,249",1,1,1,3,0,0,0,8,46,24,80,23,695,172,121,354,"20,258","2,028",147,111,404,"1,560","1,370",972,292,326,281,"9,239","10,763"
Burkina Faso,Measles,252,,"2,480",672,"4,072",49,226,99,343,375,"7,362",860,"2,511","54,118",395,12,125,253,77,"2,946","1,744","4,174","6,074","5,516",,"1,438","18,534","5,669","2,925","14,445","21,751","6,590","9,804","7,474","7,782","28,282","11,722","17,461","30,094","21,395","20,940","17,327","13,713"
Burundi,Measles,212,369,"1,700",112,9,18,16,9,0,0,49,129,495,305,173,43,784,0,2,224,"1,016",,"18,363","2,928","1,449","1,273","16,099","14,782","7,192","23,869","22,344","10,397","13,282","28,014","33,261","23,297","39,631","36,740","28,587","49,302","42,051","58,970","49,227"
Cape Verde,Measles,8,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,289,"8,584",0,10,30,0,1,7,0,1,7,450,,"3,048",49,"1,385","1,282",150,"1,279"
Cambodia,Measles,13,5,379,684,3,10,56,0,0,0,15,722,"1,156","4,779","4,211",394,188,264,352,653,"1,361","3,761","12,237","13,827","1,993","3,826","2,814","2,038",946,"1,262","2,759","2,186","2,473","9,256","4,934","9,281","17,219","44,557","38,329","10,368","57,605","40,774","32,240"
Cameroon,Measles,"3,217",771,"1,509","2,809",814,712,338,"1,809",831,760,609,504,240,251,495,100,196,605,358,899,"1,448","23,934","14,629","10,894","10,731","7,504","11,770","2,463","1,548","10,892","27,442","14,622","21,150","24,314","23,207","16,654","31,936","47,178","38,580","58,904","33,876","10,546",
Canada,Measles,3,0,1,113,28,45,11,195,418,83,10,803,99,14,62,101,13,6,7,15,6,34,206,29,12,579,327,"2,361",523,203,"2,742","6,178","1,033","11,145",609,"2,385","14,941","2,816","4,078",934,"1,064","2,307","13,864"
Cayman Islands,Measles,0,0,0,,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,2,4,5,9,0,2,9
Central African Republic,Measles,155,286,"3,433","3,390",224,801,367,150,210,596,141,679,2,11,12,49,3,471,"1,233",652,938,"2,837","3,207",600,146,194,248,902,,"1,694","3,022","3,644","1,275",331,"1,898","2,148","1,785","2,446","6,395","1,564","2,563","3,820","8,280"
Chad,Measles,"2,158","2,577","2,170","1,882","1,457",9,118,418,"1,275",226,120,"8,650",194,165,63,441,"1,594",2,"10,324","15,801","7,277","24,908","3,546","6,868","12,371","10,446","24,162","21,952","9,696","20,894","19,035","21,182","7,226","7,449","3,645","3,623","3,500","6,430","6,921","5,160","1,223",36,
Chile,Measles,0,0,2,11,24,0,0,9,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,31,6,58,0,0,0,1,1,"2,098","1,958","13,008","45,079","2,623","12,563","17,101","4,785","6,752","9,438","6,527","3,844"
China,Measles,552,554,867,"2,974","3,940","5,941","24,820","42,361","52,628","26,883","6,183","9,943","38,159","52,461","131,441","109,023","99,602","124,219","70,549","71,879","58,341","88,962","71,093","61,840","53,030","79,621","68,404","53,232","76,204","117,851","140,048","123,428","85,705","85,049","96,994","104,925","198,738","418,159","619,709","781,475","892,870","1,010,755","1,122,285"
Hong Kong,Measles,3,1,1,90,17,4,9,18,,8,8,13,13,22,69,88,,,,33,,179,60,32,56,318,110,33,210,29,329,278,48,139,"3,162",194,215,280,678,888,"1,863",249,"1,669"
Macau,Measles,0,0,0,37,3,2,0,0,,1,1,1,,0,4,0,,0,0,3,,3,5,1,0,3,,3,52,21,35,1,19,4,642,0,104,265,110,231,0,9,73
Colombia,Measles,0,0,1,244,208,0,0,1,0,1,1,6,0,0,0,0,0,0,0,0,139,3,1,44,61,67,160,410,525,"9,105","7,976","10,391","12,520","12,598","14,801","20,620","5,180","5,572","11,849","13,099","9,273","19,612","9,222"
Comoros,Measles,4,0,0,65,0,0,0,0,0,0,1,3,0,1,0,0,85,912,0,0,0,,,0,0,0,0,0,2,0,0,0,"2,328",170,0,0,0,0,0,0,0,0,"1,801"
Congo [Republic],Measles,"6,718",160,37,66,28,958,277,"1,359",71,124,260,315,4,1,2,84,126,146,"3,524","3,712","2,788","2,152","1,678",313,174,"1,267","3,897","2,381",226,693,"4,302","4,042","3,608",498,454,"1,420","6,424","7,600","18,615","16,642","12,931","9,668","11,892"
Cook Islands,Measles,,,,0,0,,,,,,0,0,0,0,0,1,6,0,0,17,0,0,2,0,9,194,0,7,0,3,9,61,36,691,15,16,5,50,1,4,14,57,363
Costa Rica,Measles,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,,1,0,1,0,0,0,23,27,26,24,35,0,273,"2,361","6,296",76,33,358,"4,004","4,534",1,11,39,167,170,"1,000"
Croatia,Measles,0,0,0,52,23,7,4,206,,0,2,12,7,2,51,0,1,2,54,19,6,8,9,31,648,240,119,697,138,87,160,117,119,,,,,,,,,,
Cuba,Measles,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,17,12,12,121,858,"3,312","2,874","3,315","3,287","23,408","18,387","3,924"
Curaçao,Measles,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Measles,0,1,1,6,15,3,0,0,10,0,1,0,18,0,1,0,0,1,0,0,0,,0,0,1,1,55,0,0,0,20,1,4,0,0,0,1,1,3,183,27,3,0
Czech Republic,Measles,0,0,4,590,207,142,7,9,222,15,22,17,0,5,2,2,7,0,17,30,4,6,9,2,19,14,10,5,9,14,416,839,"2,420",,,,,,,,,,
Côte d'Ivoire,Measles,"1,596","1,837",600,372,453,163,45,65,50,48,137,628,441,183,12,5,11,115,"3,466","4,770","5,882","5,790","5,729","4,824","12,289","9,665","20,858","30,039",,"7,465","14,765","9,902","17,799","18,660","16,864","34,170","23,839","8,892","5,946","7,139","15,605","14,782","7,633"
North Korea,Measles,0,,0,,0,0,0,0,3,0,0,0,0,0,8,"3,550",0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo [DRC],Measles,"4,380","54,471","82,290","333,017","69,693","45,107","5,092","5,020","33,711","88,381","72,029","133,802","5,407",57,"12,461","55,577","80,123","182,485","44,934","21,956","30,466","8,072","8,282","12,135","15,271","5,766","9,546","5,443","12,573","2,749",63,,"4,564","11,178","13,214","14,866","19,430","19,508","11,385","21,057","30,775","38,142","32,596"
Denmark,Measles,0,0,4,15,8,4,3,9,27,17,2,84,5,6,14,2,27,2,0,0,32,11,14,,,61,119,20,36,115,129,162,180,405,618,"6,268","23,490","13,187","21,188","33,242","15,656","35,651","28,249"
Djibouti,Measles,206,0,,,28,3,8,47,,28,709,49,7,48,143,24,49,298,71,37,50,79,183,341,198,,410,8,,37,129,13,104,490,473,52,,108,"1,295",,31,"4,533",
Dominica,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,9,10,82,45,64,188,1,2,27,0
Dominican Republic,Measles,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,113,253,274,14,1,0,0,3,"4,637","7,650","7,512","3,477","1,505",692,499,501,"4,417","4,429","2,960","3,671","3,410","9,760"
Ecuador,Measles,0,0,0,0,19,0,1,0,0,0,72,257,0,0,1,0,0,0,0,0,0,2,0,0,0,0,42,919,"3,668","3,627","4,356","1,585","1,646","3,649","8,004","1,537",839,"1,183","6,979","2,556","1,647","4,678","2,722"
Egypt,Measles,14,0,3,0,48,24,225,"5,432","1,314",405,245,26,16,608,668,"1,684",953,77,80,164,653,"2,150","2,633","1,547","4,868","4,606","4,403","1,833","1,444","2,874","4,403","1,231",887,"4,057","3,672","1,805","1,176","5,554","4,898",813,"7,365","1,777",839
El Salvador,Measles,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,38,509,0,0,0,787,405,278,"1,413","4,775","2,407","3,664","12,554","2,315"
Equatorial Guinea,Measles,49,43,53,0,0,1,"1,699","1,250",13,321,"1,190",0,0,78,436,5,0,,38,18,24,"1,339",,,,0,1,44,270,157,297,32,32,582,"14,875","11,865",788,464,198,,,,
Eritrea,Measles,28,25,12,6,70,"1,199",142,198,127,45,194,48,51,82,0,55,128,19,24,376,460,204,789,320,316,777,"1,783",185,541,267,,,,,,,,,,,,,
Estonia,Measles,0,0,0,27,10,1,2,4,0,2,4,7,0,0,0,1,27,2,0,0,0,0,9,12,17,18,19,17,230,312,71,129,33,,,,,,,,,,
Eswatini,Measles,64,29,1,0,0,0,1,0,0,0,0,0,313,26,1,0,0,0,0,350,37,49,10,0,180,609,"2,201",171,610,"7,148","2,042","1,467","1,465","1,461","1,581","4,261","2,253","3,253","4,794","3,267","9,185","2,592",
